# NMR       Y (arb)     E (keV)
1664        42.7        1326.95
1662        71.6        1323.76
1660.9      73.4        1322.01
1660        68.7        1320.58
1659        67.5        1318.99
1658        53.5        1317.40
1658        38.8        1317.40
1657.88      9.17       1317.21
1657.8       2.88       1317.08
1657         1.27       1315.81

1660.1      47.3        1320.74
1659        44.0        1318.99
1658.6      47.5        1318.35
1658.35     48.3        1317.95
1658.1      44.2        1317.56
1657.9      19.0        1317.24
1657.7       1.36       1316.92
